"Salary","AVG","OBP","Name"
3300,0.272,0.302,"Andre Dawson     "
2600,0.269,0.335,"Steve Buchele    "
2500,0.249,0.337,"Kal Daniels      "
2475,0.26,0.292,"Shawon Dunston   "
2313,0.273,0.346,"Mark Grace       "
2175,0.291,0.379,"Ryne Sandberg    "
600,0.258,0.37,"Luis Salazar     "
460,0.228,0.279,"Dwight Smith     "
240,0.25,0.327,"Doug Dascenzo    "
200,0.203,0.24,"Sammy Sosa       "
177,0.262,0.283,"Jose Vizcaino    "
140,0.222,0.307,"Rick Wilkins     "
117,0.227,0.28,"Derrick May      "
115,0.261,0.37,"Rey Sanchez      "
2600,0.3,0.368,"Ivan Calderon    "
1907,0.225,0.292,"Tim Wallach      "
1190,0.255,0.321,"Spike Owen       "
990,0.29,0.349,"Larry Walker     "
925,0.246,0.323,"Gary Carter      "
365,0.208,0.265,"Tom Foley        "
302,0.238,0.347,"Delino DeShields "
300,0.267,0.31,"Marquis Grissom  "
129,0.353,0.435,"Bret Barberie    "
111,0.213,0.222,"John VanderWal   "
6100,0.302,0.391,"Bobby Bonilla    "
4125,0.26,0.321,"Eddie Murray     "
3213,0.255,0.347,"Vince Coleman    "
2319,0.259,0.349,"Howard Johnson   "
2000,0.223,0.307,"Kevin Bass       "
1600,0.225,0.31,"Dick Schofield   "
1394,0.258,0.381,"Dave Magadan     "
935,0.275,0.351,"Daryl Boston     "
850,0.327,0.424,"Willie Randolph  "
775,0.272,0.3,"Mackey Sasser    "
760,0.241,0.32,"Kevin Elster     "
629,0.293,0.355,"Dave Gallagher   "
275,0.257,0.315,"Chico Walker     "
120,0.225,0.33,"Chris Donnels    "
2567,0.196,0.297,"Darren Daulton   "
2500,0.252,0.309,"Dale Murphy      "
2350,0.294,0.367,"John Kruk        "
2317,0.297,0.391,"Lenny Dykstra    "
2000,0.258,0.288,"Mariano Duncan   "
715,0.205,0.268,"Stan Javier      "
660,0.272,0.304,"Ricky Jordan     "
650,0.243,0.344,"Wally Backman    "
260,0.337,0.413,"Jim Lindeman     "
250,0.228,0.238,"Steve Lake       "
200,0.24,0.3,"Wes Chamberlain  "
180,0.298,0.378,"Dave Hollins     "
180,0.249,0.313,"Mickey Morandini "
5150,0.292,0.41,"Barry Bonds      "
4450,0.265,0.355,"Andy Van Slyke   "
2000,0.265,0.306,"Jose Lind        "
1850,0.289,0.351,"Mike LaValliere  "
1192,0.295,0.363,"Don Slaught      "
875,0.27,0.33,"Jay Bell         "
825,0.246,0.324,"Gary Redus       "
525,0.288,0.366,"Lloyd McClendon  "
367,0.273,0.344,"Gary Varsho      "
325,0.239,0.328,"Jeff King        "
320,0.244,0.281,"Cecil Espy       "
150,0.275,0.373,"Orlando Merced   "
113,0.34,0.381,"John Wehner      "
113,0.25,0.28,"Carlos Garcia    "
2425,0.272,0.326,"Pedro Guerrero   "
2367,0.219,0.268,"Andres Galarraga "
2050,0.24,0.357,"Jose Guillen     "
2000,0.285,0.38,"Ozzie Smith      "
1617,0.307,0.368,"Milt Thompson    "
1167,0.24,0.3,"Gerald Perry     "
992,0.264,0.319,"Tom Pagnozzi     "
400,0.227,0.26,"Rex Hudler       "
315,0.305,0.36,"Felix Jose       "
315,0.28,0.353,"Todd Zeile       "
230,0.251,0.301,"Ray Lankford     "
135,0.216,0.316,"Bernard Gilkey   "
130,0.243,0.322,"Geronimo Pena    "
3150,0.319,0.363,"Terry Pendleton  "
2785,0.297,0.371,"Otis Nixon       "
2700,0.251,0.338,"Ron Gant         "
2400,0.253,0.313,"Sid Bream        "
1750,0.275,0.377,"Lonnie Smith     "
1262,0.32,0.368,"Jeff Treadway    "
940,0.259,0.358,"Jeff Blauser     "
555,0.275,0.377,"David Justice    "
500,0.249,0.296,"Rafael Belliard  "
370,0.188,0.243,"Damon Berryhill  "
350,0.241,0.316,"Greg Olson       "
148,0.242,0.284,"Francisco Cabrera"
